#	Name	Symbol	Market Cap	Price	Circulating Supply	Volume (24h)	% 1h	% 24h	% 7d
46	Stratis Stratis	STRAT	$259,771,165	$2.63	98,916,518 *	$5,365,175	0.45%	4.20%	12.83%
47	Wanchain Wanchain	WAN	$250,868,962	$2.36	106,152,493 *	$4,538,721	0.29%	0.02%	4.25%
48	Basic Attention Token Basic Attenti...	BAT	$241,250,541	$0.241251	1,000,000,000 *	$2,479,504	0.17%	5.89%	-5.08%
49	Mixin Mixin	XIN	$235,839,775	$538.18	438,220 *	$24,010	-0.07%	-2.98%	?
50	Status Status	SNT	$235,726,979	$0.067923	3,470,483,788 *	$29,198,592	-0.02%	1.96%	21.77%
51	Bitcoin Private Bitcoin Private	BTCP	$225,863,858	$11.03	20,475,725	$252,495	-0.11%	2.97%	-4.61%
52	Nebulas Nebulas	NAS	$223,166,778	$4.90	45,500,000 *	$32,284,252	0.00%	-0.46%	14.07%
53	Hshare Hshare	HSR	$217,328,693	$5.03	43,175,754	$26,363,235	0.01%	3.78%	11.36%
54	Loopring Loopring	LRC	$212,940,897	$0.372226	572,074,043 *	$8,230,889	0.14%	6.72%	20.96%
55	IOST IOST	IOST	$204,006,209	$0.024286	8,400,000,000 *	$17,292,127	-0.04%	2.65%	12.32%
56	Waltonchain Waltonchain	WTC	$203,667,658	$6.54	31,144,099 *	$4,497,391	0.28%	0.03%	0.75%
57	DigixDAO DigixDAO	DGD	$193,088,026	$96.54	2,000,000 *	$711,950	0.00%	-0.01%	-2.86%
58	Huobi Token Huobi Token	HT	$187,062,627	$3.74	50,000,200 *	$73,661,042	-0.26%	-5.32%	-1.10%
59	KuCoin Shares KuCoin Shares	KCS	$182,079,184	$2.01	90,730,576 *	$962,741	-0.10%	2.90%	-10.03%
60	Aion Aion	AION	$163,607,575	$0.976875	167,480,575 *	$2,451,000	0.28%	-3.31%	-8.22%
61	Komodo Komodo	KMD	$160,476,746	$1.54	104,254,012	$919,035	-0.07%	0.98%	-3.91%
62	GXChain GXChain	GXS	$160,052,976	$2.67	60,000,000 *	$7,529,426	0.65%	1.05%	-1.70%
63	Mithril Mithril	MITH	$157,089,721	$0.466757	336,555,608 *	$61,232,226	-0.41%	-1.18%	32.00%
64	aelf aelf	ELF	$152,463,101	$0.609852	250,000,000 *	$28,660,597	-0.04%	3.79%	23.57%
65	MaidSafeCoin MaidSafeCoin	MAID	$149,943,389	$0.331328	452,552,412 *	$1,740,856	0.03%	0.50%	8.43%
66	Bancor Bancor	BNT	$148,731,201	$2.96	50,227,731 *	$3,858,268	0.06%	1.71%	-0.46%
67	Ardor Ardor	ARDR	$145,937,634	$0.146084	998,999,495 *	$1,160,846	0.18%	-0.26%	6.78%
68	Ark Ark	ARK	$144,993,280	$1.40	103,551,969 *	$1,584,762	0.71%	8.14%	4.44%
69	ReddCoin ReddCoin	RDD	$143,658,220	$0.004987	28,808,713,174 *	$1,922,707	-0.15%	1.80%	-4.26%
70	Cryptonex Cryptonex	CNX	$135,917,320	$3.00	45,345,743	$1,488,527	0.00%	-0.75%	-13.03%
71	MonaCoin MonaCoin	MONA	$125,887,644	$2.08	60,541,265	$619,412	-0.18%	-3.58%	-4.52%
72	Dentacoin Dentacoin	DCN	$124,086,655	$0.000382	325,226,613,094 *	$47,066	0.15%	1.07%	3.88%
73	MOAC MOAC	MOAC	$123,096,105	$3.43	35,897,055 *	$71,017	-0.23%	-6.27%	-11.51%
74	FunFair FunFair	FUN	$121,885,980	$0.024324	5,010,848,189 *	$2,608,734	0.20%	1.58%	4.74%
75	Kyber Network Kyber Network	KNC	$121,563,136	$0.906290	134,132,697 *	$10,526,565	-0.54%	2.17%	14.91%
76	Emercoin Emercoin	EMC	$114,711,361	$2.73	41,944,878	$2,091,478	0.11%	4.80%	10.59%
77	Centrality Centrality	CENNZ	$113,528,587	$0.143743	789,800,407 *	$602,490	-0.09%	-8.22%	-9.36%
78	Ethos Ethos	ETHOS	$112,505,463	$1.46	76,853,090 *	$7,386,807	-0.48%	-5.41%	25.55%
79	Cortex Cortex	CTXC	$111,686,720	$0.745610	149,792,458 *	$15,352,085	-0.04%	-4.97%	46.12%
80	PIVX PIVX	PIVX	$111,368,095	$1.97	56,615,722 *	$1,086,100	-0.03%	1.08%	4.78%
81	Dropil Dropil	DROP	$110,577,841	$0.005590	19,782,832,123 *	$389,015	0.13%	-1.74%	5.85%
82	Power Ledger Power Ledger	POWR	$110,367,420	$0.295569	373,406,643 *	$74,329,023	0.45%	6.07%	52.66%
83	CyberMiles CyberMiles	CMT	$110,312,154	$0.159305	692,460,729 *	$17,779,242	0.43%	5.25%	18.34%
